2025-11-16T05:37:51.000000000Z [inf]  Starting Container
2025-11-16T05:38:01.389892024Z [inf]   * Serving Flask app 'api'
2025-11-16T05:38:01.389899485Z [inf]   * Debug mode: on
2025-11-16T05:38:01.389904677Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2025-11-16T05:38:01.389910675Z [err]   * Running on all addresses (0.0.0.0)
2025-11-16T05:38:01.389916690Z [err]   * Running on http://127.0.0.1:8000
2025-11-16T05:38:01.389923734Z [err]   * Running on http://10.249.26.217:8000
2025-11-16T05:38:01.389930996Z [err]  [33mPress CTRL+C to quit[0m
2025-11-16T05:38:01.389937457Z [err]   * Restarting with watchdog (inotify)
2025-11-16T05:38:07.884928801Z [err]   * Debugger is active!
2025-11-16T05:38:07.884935017Z [err]   * Debugger PIN: 851-678-836
2025-11-16T05:38:08.367899441Z [err]  100.64.0.2 - - [16/Nov/2025 05:38:08] "GET /api/cancelled-orders?limit=50 HTTP/1.1" 200 -
2025-11-16T05:38:08.367909669Z [err]  100.64.0.2 - - [16/Nov/2025 05:38:08] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-16T05:38:08.367966649Z [err]  100.64.0.2 - - [16/Nov/2025 05:38:08] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-16T05:38:08.371429118Z [err]  100.64.0.2 - - [16/Nov/2025 05:38:08] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-16T05:38:08.371438689Z [err]  100.64.0.2 - - [16/Nov/2025 05:38:08] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-16T05:38:08.371447026Z [err]  100.64.0.2 - - [16/Nov/2025 05:38:08] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-16T05:38:08.415036305Z [err]  100.64.0.3 - - [16/Nov/2025 05:38:08] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-16T05:38:09.398609840Z [err]  100.64.0.2 - - [16/Nov/2025 05:38:09] "GET /api/market-header HTTP/1.1" 200 -
2025-11-16T05:38:15.328334140Z [err]  100.64.0.4 - - [16/Nov/2025 05:38:15] "GET /admin HTTP/1.1" 200 -
2025-11-16T05:38:17.397028812Z [err]  100.64.0.4 - - [16/Nov/2025 05:38:17] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-11-16T05:38:17.536591176Z [err]  100.64.0.4 - - [16/Nov/2025 05:38:17] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-11-16T05:38:22.712564299Z [err]  [2025-11-16 05:38:22] [INFO] [ADMIN] Daily cycle manually triggered from 100.64.0.4 at 2025-11-16T05:38:22.706917
2025-11-16T05:38:22.712573281Z [err]  [2025-11-16 05:38:22] [INFO] [BANKROLL MODE] TEST - Initial: $50.0, Daily limit: $5.0
2025-11-16T05:38:22.740694008Z [inf]  ✓ Opinion.trade SDK initialized (wallet: 0x43C9bAd451ed65b5268cec681FCe42AdA00Fc675)
2025-11-16T05:38:24.014927841Z [inf]  [DEBUG] Opinion.trade API response - errno: 0, has result: True
2025-11-16T05:38:24.014936502Z [inf]  [DEBUG] Opinion.trade returned 15 raw markets from API
2025-11-16T05:38:27.477778586Z [inf]  [INFO] Opinion.trade API: Retrieved 15 active markets (skipped 0 without YES/NO tokens)
2025-11-16T05:38:27.477789965Z [err]  [2025-11-16 05:38:27] [INFO] [INFO] Fetched 15 events from Opinion.trade
2025-11-16T05:38:27.477796319Z [err]  INFO:autonomous_engine:[INFO] Fetched 15 events from Opinion.trade
2025-11-16T05:38:27.478845354Z [err]  [2025-11-16 05:38:27] [INFO] [CATEGORY] Events grouped into 2 categories: {'Crypto': 6, 'Other': 9}
2025-11-16T05:38:27.478861398Z [err]  INFO:autonomous_engine:[CATEGORY] Events grouped into 2 categories: {'Crypto': 6, 'Other': 9}
2025-11-16T05:38:27.478881527Z [err]  [2025-11-16 05:38:27] [INFO] [INFO] 
2025-11-16T05:38:27.478889686Z [err]  Processing cycle for ChatGPT
2025-11-16T05:38:27.478900929Z [err]  INFO:autonomous_engine:[INFO] 
2025-11-16T05:38:27.478913307Z [err]  Processing cycle for ChatGPT
2025-11-16T05:38:27.478921108Z [err]  [2025-11-16 05:38:27] [INFO] [INFO] ChatGPT - Analyzing 2 categories
2025-11-16T05:38:27.478927603Z [err]  INFO:autonomous_engine:[INFO] ChatGPT - Analyzing 2 categories
2025-11-16T05:38:28.061124136Z [inf]  [CACHE MISS] Fetched & cached technical data for BTC
2025-11-16T05:38:28.568669447Z [inf]  [CACHE MISS] Fetched & cached news data for BTC
2025-11-16T05:38:28.568676130Z [inf]  [CACHE MISS] Fetched & cached volatility data for BTC-USD
2025-11-16T05:38:48.111936350Z [err]  INFO:werkzeug:100.64.0.6 - - [16/Nov/2025 05:38:39] "GET /api/cancelled-orders?limit=50 HTTP/1.1" 200 -
2025-11-16T05:38:48.111953123Z [err]  100.64.0.2 - - [16/Nov/2025 05:38:39] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-16T05:38:48.111954476Z [err]  INFO:werkzeug:100.64.0.2 - - [16/Nov/2025 05:38:39] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-16T05:38:48.111955043Z [err]  100.64.0.2 - - [16/Nov/2025 05:38:39] "GET /api/cancelled-orders?limit=50 HTTP/1.1" 200 -
2025-11-16T05:38:48.111963948Z [err]  100.64.0.2 - - [16/Nov/2025 05:38:39] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-16T05:38:48.111964301Z [err]  INFO:werkzeug:100.64.0.2 - - [16/Nov/2025 05:38:39] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-16T05:38:48.111965656Z [err]  INFO:werkzeug:100.64.0.2 - - [16/Nov/2025 05:38:39] "GET /api/cancelled-orders?limit=50 HTTP/1.1" 200 -
2025-11-16T05:38:48.111972598Z [err]  INFO:werkzeug:100.64.0.2 - - [16/Nov/2025 05:38:39] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-16T05:38:48.111973984Z [err]  100.64.0.2 - - [16/Nov/2025 05:38:39] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-16T05:38:48.111975367Z [err]  100.64.0.5 - - [16/Nov/2025 05:38:39] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-16T05:38:48.111982328Z [err]  INFO:werkzeug:100.64.0.2 - - [16/Nov/2025 05:38:39] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-16T05:38:48.111982556Z [err]  INFO:werkzeug:100.64.0.5 - - [16/Nov/2025 05:38:39] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-16T05:38:48.111983008Z [err]  100.64.0.2 - - [16/Nov/2025 05:38:39] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-16T05:38:48.111990394Z [err]  100.64.0.6 - - [16/Nov/2025 05:38:39] "GET /api/cancelled-orders?limit=50 HTTP/1.1" 200 -
2025-11-16T05:38:48.111992013Z [err]  100.64.0.2 - - [16/Nov/2025 05:38:39] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-16T05:38:48.111993082Z [err]  INFO:werkzeug:100.64.0.2 - - [16/Nov/2025 05:38:39] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-16T05:38:48.113594484Z [err]  INFO:werkzeug:100.64.0.2 - - [16/Nov/2025 05:38:39] "GET /api/market-header HTTP/1.1" 200 -
2025-11-16T05:38:48.113603355Z [err]  100.64.0.6 - - [16/Nov/2025 05:38:39] "GET /api/market-header HTTP/1.1" 200 -
2025-11-16T05:38:48.113609636Z [err]  INFO:werkzeug:100.64.0.6 - - [16/Nov/2025 05:38:39] "GET /api/market-header HTTP/1.1" 200 -
2025-11-16T05:38:48.113617672Z [err]  100.64.0.6 - - [16/Nov/2025 05:38:39] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-16T05:38:48.113617743Z [err]  [2025-11-16 05:38:39] [WARNING] [WARNING] get_latest_price: orderbook fetch failed for token_id=36340290044020936634682594313709035547681839369116817716810216190382414524908: 'OpenapiOrderbookRespOpenAPI' object has no attribute 'data'
2025-11-16T05:38:48.113625266Z [err]  INFO:werkzeug:100.64.0.6 - - [16/Nov/2025 05:38:39] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-16T05:38:48.113630333Z [err]  100.64.0.6 - - [16/Nov/2025 05:38:39] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-16T05:38:48.113634862Z [err]  INFO:werkzeug:100.64.0.6 - - [16/Nov/2025 05:38:39] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-16T05:38:48.113640263Z [err]  100.64.0.6 - - [16/Nov/2025 05:38:39] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-16T05:38:48.113644953Z [err]  INFO:werkzeug:100.64.0.6 - - [16/Nov/2025 05:38:39] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-16T05:38:48.113650150Z [err]  100.64.0.6 - - [16/Nov/2025 05:38:39] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-16T05:38:48.113654471Z [err]  INFO:werkzeug:100.64.0.6 - - [16/Nov/2025 05:38:39] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-16T05:38:48.113659003Z [err]  100.64.0.6 - - [16/Nov/2025 05:38:39] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-16T05:38:48.113664031Z [err]  INFO:werkzeug:100.64.0.6 - - [16/Nov/2025 05:38:39] "GET /api/leaderboard HTTP/1.1" 200 -
