2025-11-14T06:43:51.000000000Z [inf]  Starting Container
2025-11-14T06:44:00.242269530Z [inf]   * Serving Flask app 'api'
2025-11-14T06:44:00.242282108Z [inf]   * Debug mode: on
2025-11-14T06:44:00.242290857Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2025-11-14T06:44:00.242298477Z [err]   * Running on all addresses (0.0.0.0)
2025-11-14T06:44:00.242306485Z [err]   * Running on http://127.0.0.1:8000
2025-11-14T06:44:00.242313861Z [err]   * Running on http://10.225.2.227:8000
2025-11-14T06:44:00.242321130Z [err]  [33mPress CTRL+C to quit[0m
2025-11-14T06:44:00.242329425Z [err]   * Restarting with watchdog (inotify)
2025-11-14T06:44:08.183956699Z [err]   * Debugger is active!
2025-11-14T06:44:08.183963146Z [err]   * Debugger PIN: 353-580-714
2025-11-14T06:44:37.935156590Z [err]  100.64.0.3 - - [14/Nov/2025 06:44:32] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T06:44:37.935170376Z [err]  100.64.0.3 - - [14/Nov/2025 06:44:32] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:44:37.935180079Z [err]  100.64.0.2 - - [14/Nov/2025 06:44:32] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:44:37.935181693Z [err]  100.64.0.2 - - [14/Nov/2025 06:44:32] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:44:37.935187736Z [err]  100.64.0.2 - - [14/Nov/2025 06:44:32] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:44:37.935190780Z [err]  100.64.0.3 - - [14/Nov/2025 06:44:32] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:44:37.935196377Z [err]  100.64.0.2 - - [14/Nov/2025 06:44:32] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:44:37.935202333Z [err]  100.64.0.2 - - [14/Nov/2025 06:44:32] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:44:37.935208238Z [err]  100.64.0.2 - - [14/Nov/2025 06:44:32] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T06:44:37.935214351Z [err]  100.64.0.3 - - [14/Nov/2025 06:44:32] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T06:44:37.935220128Z [err]  100.64.0.3 - - [14/Nov/2025 06:44:32] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:44:37.935226026Z [err]  100.64.0.3 - - [14/Nov/2025 06:44:32] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:44:37.935231502Z [err]  100.64.0.3 - - [14/Nov/2025 06:44:32] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:45:08.000390372Z [err]  100.64.0.4 - - [14/Nov/2025 06:45:06] "GET /admin HTTP/1.1" 200 -
2025-11-14T06:45:08.000905436Z [err]  100.64.0.3 - - [14/Nov/2025 06:45:02] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:45:08.000911780Z [err]  100.64.0.3 - - [14/Nov/2025 06:45:02] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:45:08.000917745Z [err]  100.64.0.3 - - [14/Nov/2025 06:45:02] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:45:08.000923352Z [err]  100.64.0.3 - - [14/Nov/2025 06:45:02] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T06:45:08.000929161Z [err]  100.64.0.3 - - [14/Nov/2025 06:45:02] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:45:08.000936522Z [err]  100.64.0.4 - - [14/Nov/2025 06:45:02] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T06:45:08.000942210Z [err]  100.64.0.3 - - [14/Nov/2025 06:45:02] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:45:09.352524350Z [err]  100.64.0.4 - - [14/Nov/2025 06:45:09] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-11-14T06:45:09.663044117Z [err]  100.64.0.4 - - [14/Nov/2025 06:45:09] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-11-14T06:45:12.141570498Z [err]  100.64.0.4 - - [14/Nov/2025 06:45:11] "GET /admin HTTP/1.1" 200 -
